OUTLET BERITA,JUDUL,ISI BERITA,BIAS
AP News,AP Sports Week in Pictures,"The ongoing drama of college basketball’s March Madness in the United States. An incident-packed trip to South Korea for Japanese baseball star Shohei Ohtani. A match-winning goal at iconic Wembley Stadium in London that thrust Brazil teenager Endrick into the global consciousness.  Associated Press photographers have been there for the biggest stories in sports across the globe over the past week. A Brazil soccer fan poses next to life-size statues of South American soccer stars, from left, Lionel Messi, Pele and Diego Maradona at the CONMEBOL museum on the day of its re-inauguration in Luque, Paraguay, Monday, March 18, 2024. (AP Photo/Jorge Saenz)   For some of the saddest, too, like when second-ranked women’s tennis player Aryna Sabalenka played at the Miami Open after the death of a former ice hockey player she dated.  Formula One continued with further scrutiny on Red Bull at the Australian Grand Prix in Melbourne, where the team had to deal with a fire in the car of champion driver Max Verstappen.  Meanwhile, cricket’s lucrative Indian Premier League got underway, with Chennai Super Kings opening their title defense by beating Virat Kohli’s Royal Challengers Bengaluru.  Over in Paraguay, life-size statues of South American soccer greats Lionel Messi, Pele and Diego Maradona were on show at the CONMEBOL museum on the day of its re-inauguration.  In Texas, Costa Rica players were pelted with drinks and trash after celebrating a goal in CONCACAF Nations League soccer against Honduras. The U.S. won the title, beating Mexico in the final.  The selection was curated by Prague staff photographer Petr Josek. Philadelphia 76ers’ Tyrese Maxey (0) goes up to shoot against Miami Heat’s Bam Adebayo, top, during the first half of an NBA basketball game, Monday, March 18, 2024, in Philadelphia. (AP Photo/Matt Rourke)  Benfica’s Lucia Alves, bottom, challenges for the ball with Lyon’s Selma Bacha during the women’s Champions League quarterfinals, first leg, soccer match between SL Benfica and Olympique Lyonnais at the Luz Stadium, in Lisbon, Tuesday, March 19, 2024. (AP Photo/Armando Franca)  A woman walks past a mural of Los Angeles Dodgers’ Shohei Ohtani, left, and Mookie Betts, painted by artist Gustavo Zermeno Jr., in Hermosa Beach, Calif., Monday, March 18, 2024. The Dodgers and the San Diego Padres play Major League Baseball’s first regular-season games in Seoul, South Korea on March 20-21. (AP Photo/Jae C. Hong)  Katie Grzelak competes during a women’s super-G skiing race, Wednesday, March 20, 2024, during the U. S. Alpine Championships at the Sun Valley ski resort in Ketchum, Idaho. (AP Photo/Robert F. Bukaty)  A fan has pasted North Korean flags on his face ahead of the FIFA World Cup 2026 and AFC Asian Cup 2027 preliminary joint qualification round 2 match between Japan and North Korea at the National Stadium Thursday, March 21, 2024, in Tokyo. (AP Photo/Eugene Hoshiko)  Aryna Sabalenka, of Belarus, walks on a practice court at the Miami Open tennis tournament, Thursday, March 21, 2024, in Miami Gardens, Fla. (AP Photo/Rebecca Blackwell)  A caddie walks between the 16th and 17th holes during the first round of LPGA’s Fir Hills Seri Pak Championship golf tournament in Palos Verdes Estates, Calif., Thursday, March 21, 2024. (AP Photo/Ashley Landis)  Royal Challengers Bengaluru’s Anuj Rawat plays a shot during the Indian Premier League cricket tournament match between Chennai Super Kings and Royal Challengers Bengaluru in Chennai, India, Friday, March 22, 2024. (AP Photo/R. Parthibhan)  Aksel Kitt competes in a men’s giant slalom ski race during the U.S. Alpine Championships, Friday, March 22, 2024, at the Sun Valley ski resort in Ketchum, Idaho. (AP Photo/John Locher)  Los Angeles Lakers’ LeBron James grabs the ball during the second half of an NBA basketball game against the Philadelphia 76ers Friday, March 22, 2024, in Los Angeles.(AP Photo/Jae C. Hong)  Philadelphia Flyers’ Felix Sandstrom walks off the ice after warming-up before an NHL hockey game against the Boston Bruins, Saturday, March 23, 2024, in Philadelphia. (AP Photo/Matt Slocum)  Zenit fans light fireworks during an international friendly soccer match between Red Star and Zenit St. Petersburg at the Rajko Mitic Stadium in Belgrade, Serbia, Saturday, March 23, 2024. (AP Photo/Darko Vojinovic)  Brazil’s Endrick celebrates after scoring the opening goal during a friendly soccer match between England and Brazil at Wembley Stadium in London, Saturday, March 23, 2024. (AP Photo/Alastair Grant)  Costa Rica midfielder Jefferson Brenes, from left, Alvaro Zamora (21), Francisco Calvo (15) and Joseph Mora (8) are pelted with drinks and trash after celebrating a Brenes goal in the second half of a CONCACAF Nations League Play-In soccer match against Honduras, Saturday, March 23, 2024, in Frisco, Texas. (AP Photo/Julio Cortez)  Penn State’s Aaron Brooks, left, takes on NC State’s Trent Hilday in their 197-pound match in the finals of the NCAA wrestling championships, Saturday, March 23, 2024, in Kansas City, Mo. (AP Photo/Charlie Riedel)  Red Bull mechanics work to extinguish a fire in Max Verstappen of the Netherlands car during the Australian Formula One Grand Prix at Albert Park, in Melbourne, Australia, Sunday, March 24, 2024. (AP Photo/Scott Barbour,Pool)  Moto3 rider Riccardo Rossi of Italy reacts after crashing during the Portuguese Motorcycle Grand Prix at the Algarve International circuit near Portimao, Portugal, Sunday, March 24, 2024. (AP Photo/Jose Breton)  MotoGP rider Jorge Martin of Spain, holding a Spanish flag, bows as he returns to the pit lane after winning the MotoGP race of the Portuguese Motorcycle Grand Prix at the Algarve International circuit near Portimao, Portugal, Sunday, March 24, 2024. (AP Photo/Jose Breton)  Kansas State center Ayoka Lee, top left, and guard Serena Sundell (4) chase a loose ball with Colorado forward Quay Miller (11) during the second half of a second-round college basketball game in the women’s NCAA Tournament in Manhattan, Kan., Sunday, March 24, 2024, in Manhattan, Kan. Colorado won 60-53. (AP Photo/Charlie Riedel)  United States defender Chris Richards, left, reaches for the ball in front of Mexico forward Henry Martin during the second half of a CONCACAF Nations League final soccer match, Sunday, March 24, 2024, in Arlington, Texas. (AP Photo/Tony Gutierrez )    AP sports:https://apnews.com/sports",3,
Fox News,"Biden Education Dept asked to pause student loan plan until safeguards in place to prevent fraud, abuse","Student loan forgiveness for borrowers is great, but President Biden's plan does not address the ever-rising cost of a college education, Americans in D.C. say. The Defense of Freedom Institute (DFI) wrote a letter to U.S.Department of EducationInspector General Sandra Bruce Wednesday asking for an immediate ""pause"" to student loan cancellation applications until necessary precautions are implemented to prevent waste, fraud and abuse. ""DFI writes because we are deeply concerned that the Biden administration’s recently announced student loan debt cancellation policy lacks basic safeguards against waste, fraud, and abuse,"" the letter reads. ""Some of these safeguards could be easily implemented—such as directing borrowers to give the Department permission to confirm income through Internal Revenue Service (IRS) records during the application process,"" it added. The DFI criticized the Education Department's current measure allowing for ""self-certifications"" to verify eligibility for thecancellation program, noting the potential for waste to come from the allotted $430 billion cost. FIRST LAWSUIT FILED TO BLOCK BIDEN'S STUDENT LOAN HANDOUT The U.S. Department of Education building in Washington, D.C.(STEFANI REYNOLDS/AFP via Getty Images) ""This is simply unacceptable, particularly where, as here, no statutory requirement or other deadline exists that requires the Department to act with such haste,"" the organization added in the letter. ""Accordingly, we urge your prompt action to request that the Department immediately pause its processing of student loan cancellation applications until the agency has established a system of rigorous safeguards to protect the interests of the taxpayer."" BIDEN STUDENT LOAN HANDOUT TO COST MORE THAN $400 BILLION: CBO In a press release issued Wednesday, the nonprofit slammed the existing measures by calling out the Education Department's own acknowledgment of the application process' shortcomings, writing, ""by ED’s own admission, its system for approving loan cancellation applications relies largely on fraud-prone self-certification of income eligibility."" A sign asking President Biden to Cancel Student Debt is seen posted on Pennsylvania Ave near the white house staff entrance during a demonstration demanding that President Biden cancel student loan debt in August on July 27, 2022 at the Executive Offices in Washington, DC.(Jemal Countess/Getty Images for We, The 45 Million) ""We’re talking about canceling more than $430 billion in debt owed to the taxpayers based on little more than pinky promises from borrowers that they qualify for loan forgiveness,"" DFI president and co-founder Bob Eitel said, according to the release. ""This is the sort of malfeasance that happens when an administration acts without authorization from Congress and makes it up as it stumbles along. This behavior simply cannot stand, and that’s why we are calling on the IG to urge the Department to immediately stop processing student loan cancellation applications until rigorous safeguards are put in place to protect billions of dollars in taxpayer money."" STUDENT LOAN HANDOUT: NEW LAWSUIT SAYS BIDEN DIDN'T FOLLOW ADMINISTRATIVE PROCEDURES US President Joe Biden announces student loan relief with Education Secretary Miguel Cardona (R) on August 24, 2022 in the Roosevelt Room of the White House in Washington, DC.(OLIVIER DOULIERY/AFP via Getty Images) DFI's letter to Bruce critiqued President Biden's student loan forgiveness plan for its ""unorthodox"" roll-out, noting the administration has opted to detail the effort outside the ""usual legal processes"" and rely instead on press releases, blog posts and more. SEN. DURBIN SAYS HIS SON WAS A VICTIM OF PPP FRAUD, CALLS FOR MORE OVERSIGHT OF FEDERAL COVID-19 FUNDS DFI also relayed its critique of the ""self-certification"" process toCOVID-19 relief aid, pointing to red flags highlighted by several Inspectors General at the time the aid was announced. ""The Inspectors General of several federal agencies, including the Department of Labor and the Small Business Administration, raised alarms about the risks of self-certification within weeks of the first wave of COVID disbursements. ""More recently, several investigations have confirmed that self-certification invites fraud and abuse from a small number of people,"" the letter read. CLICK HERE TO GET THE FOX NEWS APP The organization pinpointed other instances of fraudulent self-reporting, including loan borrowers who failed to accurately report their family size or income for Income Driven Repayment (IDR) plans. Taylor Penley is an associate editor with Fox News.",0,
Fox News,Biden calls SC primary 'real comeback' as he sets sights on Super Tuesday,"2020 presidential hopeful former Vice President Joe Biden looks ahead to Super Tuesday with Chris Wallace. Former Vice PresidentJoe Bidencalled his victory in Saturday night’sSouth Carolina Democratic primary“a real comeback” as he looks to carry momentum into the upcoming Super Tuesday primaries. Biden, who appeared on “Fox News Sunday,” seemed confident that the South Carolina win shows he can challenge his Democratic presidential primary rivalBernie Sandersand reclaim the mantle as his party’s front-runner in the race to battlePresident Trumpin November’s general election. “It’s a big boost,” Biden said. “I think it starts the real comeback and we picked up a lot of delegates.” BIDEN TOUTS VICTORY IN SC PRIAMRY, SNIPES AT SANDERS' REVOLUTION Biden, however, hedged his victory in the first in the South primary by noting that the race is far from determined. “We have a long, long way to go. This is a marathon,” he said. After poor fourth- and fifth-place finishes in Iowa’s Caucuses and New Hampshire’s primary, followed by a distant second-place showing last weekend in Nevada’s Caucuses behind Sanders, Biden had staked his campaign’s future on South Carolina. In the Palmetto State, where Biden was counting on his popularity among African-Americans, he captured 48 percent of Democratic presidential primary voters, crushing Sanders by nearly 30 percentage points and making up lots of lost ground to the populist senator from Vermont in the all-important race for convention delegates. But the true test for Biden will come this week on ""Super Tuesday"" – when 14 states from coast-to-coast, including delegate-rich behemoths like California and Texas, hold primaries that offer a potential combined prize of a third of all nomination delegates. Biden is hoping his impressive victory in South Carolina – long considered his campaign firewall – will give him plenty of free media coverage and momentum heading into Super Tuesday and help him make up for plenty of lost ground to both Sanders and multibillionaire Mike Bloomberg in the coming contests. Biden is at a big disadvantage in the Super Tuesday states – especially in delegate-rich California where he has only one office and has been outspent on advertising by both Sanders and Bloomberg. He also trails in the polls in California and Texas by a large margin to Sanders. The former vice president deflected questions by moderator Chris Wallace about the future of his campaign if he gets “clobbered” on Super Tuesday where 34 percent of the Democratic delegates will be awarded, saying only that there are other delegate-heavy states still in play following Tuesday’s votes. CLICK HERE TO GET THE FOX NEWS APP “There are a lot of big states coming up after that – Florida, Georgia, Pennsylvania, Michigan,” Biden said. “I feel good about where we are and ultimately people are beginning to focus on the opposition the way they focused on me for a long time.” “It’s about the message,” he added. On the front-runner Sanders, Biden noted that he would support him if he was the nominee, but that the self-described Democratic socialist would make it difficult for Democratic candidates down ballot. “You can’t run as an Independent Socialist, now a Democratic Socialist, and do particularly -- expect to do very well in the states we have to win, like North Carolina, like Georgia, like Florida, like Texas, like Pennsylvania, et cetera,” Biden said. “I believe that if I’m on the top of the ticket we will win back the Senate and we’ll keep the House. I went in last time in 2018 to 24 purple states, we won 41 House seats, we won governor seats.” Fox News’ Paul Steinhauser contributed to this report.",1,
Breitbart,Rahm Emanuel: Don’t Use The Word Mandate for COVID Vaccine — Say ‘Requirements for Access’,"Former Chicago Mayor Rahm Emanuel said on ABC’s “This Week” that officials should avoid using the word “mandate” when discussing requiring the COVID-19 vaccine. Emanuel said, “I would not use the word mandate.” He continued, “Call it a requirement, a requirement to participate in the rest of the economy that is opening up.” Emanuel added, “Look, the first 60% you can do in masks. The last 40% you have to do strategically. I would not use the word mandate. We’re requiring this for X access to the economy. You have to think about people in that way. I think that whether you take public employees — as I said, health care workers should lead. They have to get vaccinated. You get federal dollars for research at universities. Students and employees have to be. You start setting requirements for the rest of society. The other piece I would add, it’s part of your national pledge. The one thing he said, and you can see happening, as the variant gets more dangerous, the population it affects starts to go down the age group. We’re going to get to a time where one of these variants beats the vaccine. The question is can we beat the variant?” Follow Pam Key on Twitter@pamkeyNEN",1,
Breitbart,Donald Trump Speaks to Press After Election Victory Certified,President-elect Donald Trump addresses reporters at Mar-a-Lago the day after his victory in the 2024 presidential election was certified.,0,
Breitbart,Report: Vaccinated Comprise 75% of Coronavirus Infections in Singapore,"Vaccinated individuals comprise the majority of new coronavirus infections in Singapore, according to government data. According to Reuters, vaccinated peoplemade upthree-quarters of the country’s coronavirus infections in the last month, although severe cases among the vaccinated have been limited: While the data shows that vaccines are highly effective in preventing severe cases, it also underscores the risk that even those inoculated could be contagious, so that inoculation alone may not suffice to halt transmission. Of Singapore’s 1,096 locally transmitted infections in the last 28 days, 484, or about 44%, were in fully vaccinated people, while 30% were partially vaccinated and just over 25% were unvaccinated, Thursday’s data showed. “There is continuing evidence that vaccination helps to prevent serious disease when one gets infected,” the health ministry said in a statement, noting fully vaccinated people generally exhibit mild symptoms or none at all. Singapore boasts a high vaccination rate, as 75 percent of the 5.7 million in the country have received the jab. The Singapore Ministry of Healthannouncedin early July that it would only count recipients of the American made Pfizer or Moderna mRNA vaccines as vaccinated for the purposes of national statistics. Vaccinated individuals who have contracted the coronavirus are presumably recipients of one of the American products. Individuals who received other options such as Russia’s Sputnik V vaccine or one of several Chinese products officially count as unvaccinated. The news comes as the Biden White House urges Americans to get vaccinated as the delta variant spreads across the U.S. Notably, White House press secretary Jen Psaki cited findings revealing that vaccinated people are more concerned about the variant’s spread than the unvaccinated. “I believe it was a CBS poll — that showed that vaccinated people in the country are more fearful about the Delta variant than unvaccinated people,” shesaid. “That’s clearly concerning to us because unvaccinated people should be more fearful. And what the President wanted to convey to people in the country is the impact and effect of getting vaccinated,” she added. Meanwhile, Texas state Rep. Donna Howard (D), one of the fully vaccinated Texas state lawmakers who tested for the coronavirus after fleeing to Washington, D.C., alongside her maskless colleagues to prevent House Republicans from pursuing election integrity measures, is now among thosecallingfor a universal mask mandate.",0,
Fox News,Antibody points to potential weak spot on novel coronavirus,"Dr. Manny Alvarez explains how long a recovered coronavirus could be transmissible after symptoms are gone Get all the latest news on coronavirus and more delivered daily to your inbox.Sign up here. Scientists are working hard to understand how antibodies could be used to design an effective vaccine for the novelcoronavirusthat has killed more than 24,737 people in the U.S. and infected almost 2 million worldwide. The image below shows a human antibody, which is a blood protein that our immune systems make to destroy viruses and other invaders in our bodies. This antibody is called CR3022, depicted in yellow, and is shown bound to the surface of the novel coronavirus (in white). Researchers with the Scripps Institute in California utilized high-resolution X-ray crystallography tools in a paper recently published in the journalScienceto capture the antibody's atomic structure. Each antibody is only about 10 nanometers, or one-billionth of a meter. NATURAL LIGHT, FRESH AIR COULD KEEP CORONAVIRUS OUT OF WORKPLACES Scientists are studying the novel coronavirus to find potential weak spots in its molecular structure.(Meng Yuan and Nicholas Wu, Wilson Lab, The Scripps Research Institute, La Jolla, CA) The scientists were hoping to figure out exactly where the antibody attaches to the deadly virus. If those more vulnerable areas can be pinpointed, scientists will be able to use that information in designing a vaccine. One of their findings is that the antibody binds on a similar site in both the SARS and novel coronaviruses. ""The human antibody shown in this image locks onto the virus’s spike protein at a different location than where the human ACE2 protein binds to the novel coronavirus. Intriguingly, the antibody binds to a spot on the novel coronavirus that is usually hidden, except for when [the] virus shapeshifts its structure in order to infect a cell,"" Dr. Francis Collins said on the National Institutes of Health (NIH)Director's Blog. APPLE AND GOOGLE PARTNER ON CORONAVIRUS TRACING EFFORT According to Collins, the findings suggest that a possible successful vaccine could elicit antibodies to ""target this same spot, but binds more tightly than the one seen in the image above, thereby protecting human cells against the virus that causes COVID-19."" GET THE FOX NEWS APP Ian Wilson and his colleagues at the Scripps Institute are in the process of gathering blood samples from those who have recovered from COVID-19 so that more research of this nature can be published soon.",2,
AP News,"Video of Burkina Faso massacre appears to implicate government-allied militia, watchdog says","DAKAR, Senegal (AP) — Video footage circulating on social networks of a recent civilian massacre inBurkina Fasoappears to implicate government-allied militia,Human Rights Watchsaid, calling on authorities to investigate and prosecute all those responsible. According to testimonies collected by the watchdog, security forces and allied militias carried out large-scale operations in the Solenzo countryside on Monday and Tuesday, and targeted displaced Fulani in apparent retaliatory attacks against the community, which the government has long accused of supporting Muslim militants. “The gruesome videos of an apparent massacre by pro-government militias in Burkina Faso underscore the pervasive lack of accountability of these forces,” Ilaria Allegrozzi, senior Sahel researcher at Human Rights Watch, said, adding that the authorities “should take immediate action to end militia group attacks on civilians by punishing those responsible for atrocities like in Solenzo.” The Burkina Faso government denied the accusations, saying in a statement it “condemned the propagation, on social media, of images inducing hate and community violence, and fake information aimed at undermining social cohesion” in the country. Burkina Faso, a landlocked nation of 23 million people inSahel, an arid strip of land south of the Sahara, in recent years has become the symbol of the security crisis in the region. It has been shaken by violence from extremist groups and the government forces fighting them, much of it spilling over the border with Mali, and by two ensuing military coups.  Themilitary junta, which took power in 2022, failed to provide the stability it promised. According to conservative estimates, more than 60% of the country is now outside of government control, more than 2.1 million people have lost their homes and almost 6.5 million need humanitarian aid to survive. Based on video analysis, media reports, and local sources, most victims of the massacre in Solenzo appear to be ethnic Fulani, Human Rights Watch said Friday. At least 58 people appear to be dead or dying in the videos, including at least two children, it said. According to analysts, the junta’s strategy of military escalation, including mass recruitment of civilians for poorly trained militia units, has exacerbated tensions between ethnic groups. Data gathered by the Armed Conflict Location and Event Data Project show that militia attacks on civilians significantly increased since Capt. Ibrahim Traore took power. Human Rights Watch says the country’s armed forces and militias have committed widespread abuses during counterinsurgency operations, including unlawful killings of Fulani civilians accused of supporting Islamist fighters. It it impossible to get an accurate picture of the situation in the country since the military leadership has installed a system of de facto censorship, rights groups said, and those daring to speak up can be openlyabducted, imprisoned or forcefully drafted into the army.",2,
The Guardian,Trump plots revenge as Democrats push on with second impeachment trial,"Republican divisions over Donald Trump’ssecond impeachment trialcame into clearer focus on Sunday, as the former president spent his first weekend out of office plotting revenge against those he says betrayed him.Related:Can Trump do a Nixon and re-enter polite society? Elizabeth Drew doubts itStewing over election defeat by Joe Biden, four days after leaving the White House, Trump continued to drop hints of creating a new party, a threat some saw as a gambit to keep wavering senators in line ahead of the opening of his trial, in the week after 8 February.Democrats will send the single article of impeachment to the Senate for a reading on Monday evening. It alleges incitement of insurrection, regarding the6 January riotat the US Capitol that left five dead, including a police officer.Trump spent the weekend at his Mar-a-Lago resort in Florida, splitting rounds of golf with discussions about maintaining relevance and influence and how to unseat Republicans deemed to have crossed him, theWashington Postreported.Trump, the Post said, had said the threat of starting a Maga (Make America Great Again) or Patriot party, gave him leverage to prevent senators voting to convict, which could lead to him being prevented from seeking office again.Later on Sunday, the New York Times reporter Maggie Habermancitedsources “familiar with his thinking” when she said Trump was backing off his threat to create a new party, after it was “gently pointed out to him” that “threatening a third party while simultaneously threatening primaries makes no sense”.Nonetheless, those in Trump’s crosshairs include Liz Cheney, the No3 House Republican, Georgia governor Brian Kemp and others who declined to embrace false claims of election fraud or accused him of inciting the Capitol riot.Other senior Republicans clashed on Sunday over Trump’s trial and the party’s future. Mitt Romney, the Utah senator, former presidential candidate and fierce Trump critic who was the only Republican to vote for impeachment at his first trial last year, said the former president had exhibited a “continuous pattern” of trying to corrupt elections.“He fired up a crowd, encouraging them to march on the Capitol at the time that the Congress was carrying out its constitutional responsibility to certify the election,” Romney told CNN’s State of the Union. “These allegations are very serious. They haven’t been defended yet by the president. He deserves a chance to have that heard but it’s important for us to go through the normal justice process and for there to be resolution.”Romney said it was constitutional to hold a trial for a president who has left office.“I believe that what is being alleged and what we saw, which is incitement to insurrection, is an impeachable offence. If not, what is?”Romney, however, said he did not support action against Ted Cruz and Josh Hawley, senators who supported Trump’s claims of a rigged election and objected to results.Related:Chaos of Trump's last days in office reverberates with fresh 'plot' report“I think history will provide a measure of judgment with regard to those that continue to spread the lie that the [former] president began with, as well as the voters in our respective communities,” he said. “I don’t think the Senate needs to take action.”Other Republicans, including Lisa Murkowski of Alaska, Susan Collins of Maine and Ben Sasse of Nebraska, are expected to vote to convict. But the party is deeply fractured. For a conviction, 17 Republicans would need to vote with the 50 Democrats. It is unclear if that number can be reached, despite assertions from minority leader Mitch McConnell that the mob“was fed lies”by Trump.Habermanreportedthat Trump had “started to believe there are fewer votes to convict than there would have been if the vote had been held almost immediately after 6 January”.Marco Rubio of Florida said he thought the trial was “stupid and counterproductive”.“We already have a flaming fire in this country and it’s like taking a bunch of gasoline and pouring it on top of the fire,” he told Fox News Sunday.“I look back in time, for exampleRichard Nixon, who had clearly committed crimes and wrongdoing. In hindsight I think we would all agree that President Ford’s pardon was important for the country to be able to move forward. I think this is going to be really bad for the country, it’s just going to stir it up even more and make it even harder to get things done.”John Cornyn of Texas threatened retaliation,tweeting: “If it is a good idea to impeach and try former presidents, what about former Democratic presidents when Republicans get the majority in 2022? Think about it and let’s do what is best for the country.”Mike Rounds, of South Dakota, said he believed the impeachment was unconstitutional, telling NBC’s Meet the Press: “[The US constitution] specifically pointed out that you can impeach the president and it does not indicate that you can impeach someone who is not in office. So I think it’s a moot point.Related:Courtrooms and creditors likely to loom large in Trump's post-presidency life“But for right now there are other things we’d rather be working on. The Biden administration would love more of their cabinet in place and there’s a number of Republicans that feel the same way. We should allow this president the opportunity to form his cabinet and get that in place as quickly as possible.”Republican unity appears increasingly rare. On Saturday, the Arizona Republican party voted tocensure Cindy McCain, the widow of the former senator and presidential candidate John McCain, and two other prominent party members who have crossed Trump.The actions drew swift praise from the former president, who backed Kelli Ward, the firebrand state party chair who was the architect of the censure, and who recently won a narrow re-election.Trump, thePostreported, called Ward to offer his “complete and total endorsement”.",1,
Fox News,"Coronavirus droplets could travel 27 feet, warns MIT researcher","Learn why Americans are still ignoring social distancing rules amid coronavirus, despite increasing risks. Get all the latest news on coronavirus and more delivered daily to your inbox.Sign up here. AnMITresearcher has warned thatcoronavirusdroplets could travel up to 27 feet, which could have major implications for social distancing. Lydia Bourouiba, Ph.D., an associate professor at MIT and expert in fluid dynamics, explained that a sneeze, for example, results in a turbulent gas cloud that could contain coronavirus droplets. The research was published in theJournal of the American Medical Association. “Recent work has demonstrated that exhalations, sneezes, and coughs not only consist of mucosalivary droplets following short-range semiballistic emission trajectories but, importantly, are primarily made of a multiphase turbulent gas (a puff) cloud that entrains ambient air and traps and carries within it clusters of droplets with a continuum of droplet sizes,” she wrote. CORONAVIRUS OUTBREAK LEADS TO NASAL SWABS BEING 3D-PRINTED During the ongoing coronavirus pandemic, people have been advised by the Centers for Disease Control and Prevention [CDC] to maintain social distancing of at least six feet to limit the risk of exposure. However, Bourouiba’s research indicates that the droplets could travel further much further than that. Fox News has reached out to the CDC with a request for comment. Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, urged caution with the study during a White House briefing Tuesday evening. “This could really be terribly misleading,” he said, adding that it would apply only to people with extremely strong sneezes. “Owing to the forward momentum of the cloud, pathogen-bearing droplets are propelled much farther than if they were emitted in isolation without a turbulent puff cloud trapping and carrying them forward,” Bourouiba wrote. “Given various combinations of an individual patient’s physiology and environmental conditions, such as humidity and temperature, the gas cloud and its payload of pathogen-bearing droplets of all sizes can travel 23 to 27 feet (7-8 m).” Bourouiba explains that the range of the droplets, both large and small, is extended through their interaction with and trapping within the turbulent gas cloud. PANGOLINS CAN CARRY CORONAVIRUS-RELATED STRAINS, SCIENTISTS SAY “Droplets that settle along the trajectory can contaminate surfaces, while the rest remain trapped and clustered in the moving cloud,” she wrote. “Eventually the cloud and its droplet payload lose momentum and coherence, and the remaining droplets within the cloud evaporate, producing residues or droplet nuclei that may stay suspended in the air for hours, following airflow patterns imposed by ventilation or climate-control systems.” In a separate project, experts have used a supercomputer to quickly model the risks posed by viruses on a plane. Researchersharnessedthe Frontera supercomputer at the Texas Advanced Computing Center at the University of Texas at Austin. 3D-PRINTING TECHNOLOGY BATTLES CORONAVIRUS OUTBREAK The research study, which was led by Ashok Srinivasan, a professor in the Department of Computer Science at the University of West Florida, has been published in the journalPLOS ONE. CLICK HERE FOR COMPLETE  CORONAVIRUS COVERAGE CLICK HERE TO GET THE FOX NEWS APP As of Tuesday morning, more than 788,000 coronavirus cases have been diagnosed worldwide, at least 164,000 of which are in the U.S. The disease has accounted for at least 37,000 deaths around the world, including more than 3,000 people in the U.S. Fox News' Mike Arroyo and The Associated Press contributed to this report.Follow James Rogers on Twitter@jamesjrogers",2,
